N,CPU,Compilation Parameter,t(s)
1,2.7 GHz Intel Core i5 Dual-Core,O2,0.000002
2,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
3,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
4,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
5,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
6,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
7,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
8,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
9,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
10,2.7 GHz Intel Core i5 Dual-Core,O2,0.000002
11,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
12,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
13,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
14,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
15,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
16,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
17,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
18,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
19,2.7 GHz Intel Core i5 Dual-Core,O2,0.000002
20,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
21,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
22,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
23,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
24,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
25,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
26,2.7 GHz Intel Core i5 Dual-Core,O2,0.000002
27,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
28,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
29,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
30,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
31,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
32,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
33,2.7 GHz Intel Core i5 Dual-Core,O2,0.000002
34,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
35,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
36,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
37,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
38,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
39,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
40,2.7 GHz Intel Core i5 Dual-Core,O2,0.000002
41,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
42,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
43,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
44,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
45,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
46,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
47,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
48,2.7 GHz Intel Core i5 Dual-Core,O2,0.000002
49,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
50,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
51,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
52,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
53,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
54,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
55,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
56,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
57,2.7 GHz Intel Core i5 Dual-Core,O2,0.000002
58,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
59,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
60,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
61,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
62,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
63,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
64,2.7 GHz Intel Core i5 Dual-Core,O2,0.000002
65,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
66,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
67,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
68,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
69,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
70,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
71,2.7 GHz Intel Core i5 Dual-Core,O2,0.000002
72,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
73,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
74,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
75,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
76,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
77,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
78,2.7 GHz Intel Core i5 Dual-Core,O2,0.000002
79,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
80,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
81,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
82,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
83,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
84,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
85,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
86,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
87,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
88,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
89,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
90,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
91,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
92,2.7 GHz Intel Core i5 Dual-Core,O2,0.000002
93,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
94,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
95,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
96,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
97,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
98,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
99,2.7 GHz Intel Core i5 Dual-Core,O2,0.000002
100,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
