N,CPU,Compilation Parameter,t(s)
1,2.7 GHz Intel Core i5 Dual-Core,O1,0.000001
2,2.7 GHz Intel Core i5 Dual-Core,O1,0.000000
3,2.7 GHz Intel Core i5 Dual-Core,O1,0.000001
4,2.7 GHz Intel Core i5 Dual-Core,O1,0.000000
5,2.7 GHz Intel Core i5 Dual-Core,O1,0.000002
6,2.7 GHz Intel Core i5 Dual-Core,O1,0.000003
7,2.7 GHz Intel Core i5 Dual-Core,O1,0.000002
8,2.7 GHz Intel Core i5 Dual-Core,O1,0.000001
9,2.7 GHz Intel Core i5 Dual-Core,O1,0.000002
10,2.7 GHz Intel Core i5 Dual-Core,O1,0.000002
11,2.7 GHz Intel Core i5 Dual-Core,O1,0.000004
12,2.7 GHz Intel Core i5 Dual-Core,O1,0.000000
13,2.7 GHz Intel Core i5 Dual-Core,O1,0.000002
14,2.7 GHz Intel Core i5 Dual-Core,O1,0.000002
15,2.7 GHz Intel Core i5 Dual-Core,O1,0.000004
16,2.7 GHz Intel Core i5 Dual-Core,O1,0.000002
17,2.7 GHz Intel Core i5 Dual-Core,O1,0.000005
18,2.7 GHz Intel Core i5 Dual-Core,O1,0.000003
19,2.7 GHz Intel Core i5 Dual-Core,O1,0.000004
20,2.7 GHz Intel Core i5 Dual-Core,O1,0.000002
21,2.7 GHz Intel Core i5 Dual-Core,O1,0.000006
22,2.7 GHz Intel Core i5 Dual-Core,O1,0.000003
23,2.7 GHz Intel Core i5 Dual-Core,O1,0.000008
24,2.7 GHz Intel Core i5 Dual-Core,O1,0.000004
25,2.7 GHz Intel Core i5 Dual-Core,O1,0.000009
26,2.7 GHz Intel Core i5 Dual-Core,O1,0.000006
27,2.7 GHz Intel Core i5 Dual-Core,O1,0.000010
28,2.7 GHz Intel Core i5 Dual-Core,O1,0.000005
29,2.7 GHz Intel Core i5 Dual-Core,O1,0.000009
30,2.7 GHz Intel Core i5 Dual-Core,O1,0.000008
31,2.7 GHz Intel Core i5 Dual-Core,O1,0.000014
32,2.7 GHz Intel Core i5 Dual-Core,O1,0.000010
33,2.7 GHz Intel Core i5 Dual-Core,O1,0.000017
34,2.7 GHz Intel Core i5 Dual-Core,O1,0.000018
35,2.7 GHz Intel Core i5 Dual-Core,O1,0.000013
36,2.7 GHz Intel Core i5 Dual-Core,O1,0.000019
37,2.7 GHz Intel Core i5 Dual-Core,O1,0.000016
38,2.7 GHz Intel Core i5 Dual-Core,O1,0.000024
39,2.7 GHz Intel Core i5 Dual-Core,O1,0.000017
40,2.7 GHz Intel Core i5 Dual-Core,O1,0.000025
41,2.7 GHz Intel Core i5 Dual-Core,O1,0.000029
42,2.7 GHz Intel Core i5 Dual-Core,O1,0.000020
43,2.7 GHz Intel Core i5 Dual-Core,O1,0.000031
44,2.7 GHz Intel Core i5 Dual-Core,O1,0.000029
45,2.7 GHz Intel Core i5 Dual-Core,O1,0.000026
46,2.7 GHz Intel Core i5 Dual-Core,O1,0.000038
47,2.7 GHz Intel Core i5 Dual-Core,O1,0.000039
48,2.7 GHz Intel Core i5 Dual-Core,O1,0.000030
49,2.7 GHz Intel Core i5 Dual-Core,O1,0.000044
50,2.7 GHz Intel Core i5 Dual-Core,O1,0.000043
51,2.7 GHz Intel Core i5 Dual-Core,O1,0.000050
52,2.7 GHz Intel Core i5 Dual-Core,O1,0.000046
53,2.7 GHz Intel Core i5 Dual-Core,O1,0.000053
54,2.7 GHz Intel Core i5 Dual-Core,O1,0.000057
55,2.7 GHz Intel Core i5 Dual-Core,O1,0.000058
56,2.7 GHz Intel Core i5 Dual-Core,O1,0.000055
57,2.7 GHz Intel Core i5 Dual-Core,O1,0.000072
58,2.7 GHz Intel Core i5 Dual-Core,O1,0.000067
59,2.7 GHz Intel Core i5 Dual-Core,O1,0.000071
60,2.7 GHz Intel Core i5 Dual-Core,O1,0.000068
61,2.7 GHz Intel Core i5 Dual-Core,O1,0.000082
62,2.7 GHz Intel Core i5 Dual-Core,O1,0.000083
63,2.7 GHz Intel Core i5 Dual-Core,O1,0.000077
64,2.7 GHz Intel Core i5 Dual-Core,O1,0.000079
65,2.7 GHz Intel Core i5 Dual-Core,O1,0.000097
66,2.7 GHz Intel Core i5 Dual-Core,O1,0.000097
67,2.7 GHz Intel Core i5 Dual-Core,O1,0.000101
68,2.7 GHz Intel Core i5 Dual-Core,O1,0.000094
69,2.7 GHz Intel Core i5 Dual-Core,O1,0.000112
70,2.7 GHz Intel Core i5 Dual-Core,O1,0.000119
71,2.7 GHz Intel Core i5 Dual-Core,O1,0.000107
72,2.7 GHz Intel Core i5 Dual-Core,O1,0.000105
73,2.7 GHz Intel Core i5 Dual-Core,O1,0.000133
74,2.7 GHz Intel Core i5 Dual-Core,O1,0.000125
75,2.7 GHz Intel Core i5 Dual-Core,O1,0.000130
76,2.7 GHz Intel Core i5 Dual-Core,O1,0.000119
77,2.7 GHz Intel Core i5 Dual-Core,O1,0.000145
78,2.7 GHz Intel Core i5 Dual-Core,O1,0.000140
79,2.7 GHz Intel Core i5 Dual-Core,O1,0.000152
80,2.7 GHz Intel Core i5 Dual-Core,O1,0.000148
81,2.7 GHz Intel Core i5 Dual-Core,O1,0.000171
82,2.7 GHz Intel Core i5 Dual-Core,O1,0.000171
83,2.7 GHz Intel Core i5 Dual-Core,O1,0.000178
84,2.7 GHz Intel Core i5 Dual-Core,O1,0.000165
85,2.7 GHz Intel Core i5 Dual-Core,O1,0.000187
86,2.7 GHz Intel Core i5 Dual-Core,O1,0.000193
87,2.7 GHz Intel Core i5 Dual-Core,O1,0.000205
88,2.7 GHz Intel Core i5 Dual-Core,O1,0.000179
89,2.7 GHz Intel Core i5 Dual-Core,O1,0.000223
90,2.7 GHz Intel Core i5 Dual-Core,O1,0.000201
91,2.7 GHz Intel Core i5 Dual-Core,O1,0.000217
92,2.7 GHz Intel Core i5 Dual-Core,O1,0.000201
93,2.7 GHz Intel Core i5 Dual-Core,O1,0.000247
94,2.7 GHz Intel Core i5 Dual-Core,O1,0.000235
95,2.7 GHz Intel Core i5 Dual-Core,O1,0.000235
96,2.7 GHz Intel Core i5 Dual-Core,O1,0.000248
97,2.7 GHz Intel Core i5 Dual-Core,O1,0.000265
98,2.7 GHz Intel Core i5 Dual-Core,O1,0.000305
99,2.7 GHz Intel Core i5 Dual-Core,O1,0.000278
100,2.7 GHz Intel Core i5 Dual-Core,O1,0.000250
101,2.7 GHz Intel Core i5 Dual-Core,O1,0.000292
102,2.7 GHz Intel Core i5 Dual-Core,O1,0.000292
103,2.7 GHz Intel Core i5 Dual-Core,O1,0.000307
104,2.7 GHz Intel Core i5 Dual-Core,O1,0.000288
105,2.7 GHz Intel Core i5 Dual-Core,O1,0.000342
106,2.7 GHz Intel Core i5 Dual-Core,O1,0.000322
107,2.7 GHz Intel Core i5 Dual-Core,O1,0.000342
108,2.7 GHz Intel Core i5 Dual-Core,O1,0.000316
109,2.7 GHz Intel Core i5 Dual-Core,O1,0.000367
110,2.7 GHz Intel Core i5 Dual-Core,O1,0.000360
111,2.7 GHz Intel Core i5 Dual-Core,O1,0.000380
112,2.7 GHz Intel Core i5 Dual-Core,O1,0.000375
113,2.7 GHz Intel Core i5 Dual-Core,O1,0.000405
114,2.7 GHz Intel Core i5 Dual-Core,O1,0.000400
