N,CPU,Compilation Parameter,t(s)
10,2,7 GHz Intel Core i5 Dual-Core,O0,0.000007
20,2,7 GHz Intel Core i5 Dual-Core,O0,0.000031
30,2,7 GHz Intel Core i5 Dual-Core,O0,0.000098
40,2,7 GHz Intel Core i5 Dual-Core,O0,0.000239
50,2,7 GHz Intel Core i5 Dual-Core,O0,0.000454
60,2,7 GHz Intel Core i5 Dual-Core,O0,0.000775
70,2,7 GHz Intel Core i5 Dual-Core,O0,0.001217
80,2,7 GHz Intel Core i5 Dual-Core,O0,0.001776
90,2,7 GHz Intel Core i5 Dual-Core,O0,0.002386
100,2,7 GHz Intel Core i5 Dual-Core,O0,0.003100
110,2,7 GHz Intel Core i5 Dual-Core,O0,0.004199
120,2,7 GHz Intel Core i5 Dual-Core,O0,0.005224
130,2,7 GHz Intel Core i5 Dual-Core,O0,0.006649
140,2,7 GHz Intel Core i5 Dual-Core,O0,0.008267
150,2,7 GHz Intel Core i5 Dual-Core,O0,0.010164
160,2,7 GHz Intel Core i5 Dual-Core,O0,0.013705
170,2,7 GHz Intel Core i5 Dual-Core,O0,0.015039
180,2,7 GHz Intel Core i5 Dual-Core,O0,0.018717
190,2,7 GHz Intel Core i5 Dual-Core,O0,0.021059
200,2,7 GHz Intel Core i5 Dual-Core,O0,0.024512
210,2,7 GHz Intel Core i5 Dual-Core,O0,0.028619
220,2,7 GHz Intel Core i5 Dual-Core,O0,0.032704
230,2,7 GHz Intel Core i5 Dual-Core,O0,0.037280
240,2,7 GHz Intel Core i5 Dual-Core,O0,0.044339
250,2,7 GHz Intel Core i5 Dual-Core,O0,0.047817
260,2,7 GHz Intel Core i5 Dual-Core,O0,0.054016
270,2,7 GHz Intel Core i5 Dual-Core,O0,0.061605
280,2,7 GHz Intel Core i5 Dual-Core,O0,0.076415
290,2,7 GHz Intel Core i5 Dual-Core,O0,0.076235
300,2,7 GHz Intel Core i5 Dual-Core,O0,0.084687
310,2,7 GHz Intel Core i5 Dual-Core,O0,0.090961
320,2,7 GHz Intel Core i5 Dual-Core,O0,0.131260
330,2,7 GHz Intel Core i5 Dual-Core,O0,0.111051
340,2,7 GHz Intel Core i5 Dual-Core,O0,0.123177
350,2,7 GHz Intel Core i5 Dual-Core,O0,0.132365
360,2,7 GHz Intel Core i5 Dual-Core,O0,0.144736
370,2,7 GHz Intel Core i5 Dual-Core,O0,0.157284
380,2,7 GHz Intel Core i5 Dual-Core,O0,0.169404
390,2,7 GHz Intel Core i5 Dual-Core,O0,0.188781
400,2,7 GHz Intel Core i5 Dual-Core,O0,0.219211
410,2,7 GHz Intel Core i5 Dual-Core,O0,0.224830
420,2,7 GHz Intel Core i5 Dual-Core,O0,0.236198
430,2,7 GHz Intel Core i5 Dual-Core,O0,0.256110
440,2,7 GHz Intel Core i5 Dual-Core,O0,0.272517
450,2,7 GHz Intel Core i5 Dual-Core,O0,0.301949
460,2,7 GHz Intel Core i5 Dual-Core,O0,0.325029
470,2,7 GHz Intel Core i5 Dual-Core,O0,0.343470
480,2,7 GHz Intel Core i5 Dual-Core,O0,0.386187
490,2,7 GHz Intel Core i5 Dual-Core,O0,0.392976
500,2,7 GHz Intel Core i5 Dual-Core,O0,0.422380
