N,CPU,Compilation Parameter,t(s)
10,2,7 GHz Intel Core i5 Dual-Core,O1,0.000003
20,2,7 GHz Intel Core i5 Dual-Core,O1,0.000008
30,2,7 GHz Intel Core i5 Dual-Core,O1,0.000026
40,2,7 GHz Intel Core i5 Dual-Core,O1,0.000065
50,2,7 GHz Intel Core i5 Dual-Core,O1,0.000130
60,2,7 GHz Intel Core i5 Dual-Core,O1,0.000225
70,2,7 GHz Intel Core i5 Dual-Core,O1,0.000347
80,2,7 GHz Intel Core i5 Dual-Core,O1,0.000592
90,2,7 GHz Intel Core i5 Dual-Core,O1,0.000747
100,2,7 GHz Intel Core i5 Dual-Core,O1,0.001031
110,2,7 GHz Intel Core i5 Dual-Core,O1,0.001311
120,2,7 GHz Intel Core i5 Dual-Core,O1,0.001727
130,2,7 GHz Intel Core i5 Dual-Core,O1,0.002091
140,2,7 GHz Intel Core i5 Dual-Core,O1,0.002732
150,2,7 GHz Intel Core i5 Dual-Core,O1,0.003252
160,2,7 GHz Intel Core i5 Dual-Core,O1,0.004171
170,2,7 GHz Intel Core i5 Dual-Core,O1,0.004783
180,2,7 GHz Intel Core i5 Dual-Core,O1,0.005677
190,2,7 GHz Intel Core i5 Dual-Core,O1,0.006680
200,2,7 GHz Intel Core i5 Dual-Core,O1,0.007885
210,2,7 GHz Intel Core i5 Dual-Core,O1,0.009126
220,2,7 GHz Intel Core i5 Dual-Core,O1,0.010486
230,2,7 GHz Intel Core i5 Dual-Core,O1,0.012549
240,2,7 GHz Intel Core i5 Dual-Core,O1,0.013841
250,2,7 GHz Intel Core i5 Dual-Core,O1,0.015414
260,2,7 GHz Intel Core i5 Dual-Core,O1,0.017318
270,2,7 GHz Intel Core i5 Dual-Core,O1,0.019463
280,2,7 GHz Intel Core i5 Dual-Core,O1,0.021682
290,2,7 GHz Intel Core i5 Dual-Core,O1,0.024103
300,2,7 GHz Intel Core i5 Dual-Core,O1,0.026579
310,2,7 GHz Intel Core i5 Dual-Core,O1,0.030730
320,2,7 GHz Intel Core i5 Dual-Core,O1,0.035148
330,2,7 GHz Intel Core i5 Dual-Core,O1,0.037530
340,2,7 GHz Intel Core i5 Dual-Core,O1,0.041013
350,2,7 GHz Intel Core i5 Dual-Core,O1,0.042711
360,2,7 GHz Intel Core i5 Dual-Core,O1,0.046192
370,2,7 GHz Intel Core i5 Dual-Core,O1,0.050245
380,2,7 GHz Intel Core i5 Dual-Core,O1,0.054169
390,2,7 GHz Intel Core i5 Dual-Core,O1,0.058728
400,2,7 GHz Intel Core i5 Dual-Core,O1,0.066284
410,2,7 GHz Intel Core i5 Dual-Core,O1,0.068182
420,2,7 GHz Intel Core i5 Dual-Core,O1,0.075690
430,2,7 GHz Intel Core i5 Dual-Core,O1,0.080829
440,2,7 GHz Intel Core i5 Dual-Core,O1,0.086177
450,2,7 GHz Intel Core i5 Dual-Core,O1,0.095746
460,2,7 GHz Intel Core i5 Dual-Core,O1,0.097804
470,2,7 GHz Intel Core i5 Dual-Core,O1,0.106681
480,2,7 GHz Intel Core i5 Dual-Core,O1,0.119902
490,2,7 GHz Intel Core i5 Dual-Core,O1,0.121946
500,2,7 GHz Intel Core i5 Dual-Core,O1,0.129901
