N,CPU,Compilation Parameter,t(s)
10,2,7 GHz Intel Core i5 Dual-Core,O3,0.000002
20,2,7 GHz Intel Core i5 Dual-Core,O3,0.000006
30,2,7 GHz Intel Core i5 Dual-Core,O3,0.000020
40,2,7 GHz Intel Core i5 Dual-Core,O3,0.000048
50,2,7 GHz Intel Core i5 Dual-Core,O3,0.000104
60,2,7 GHz Intel Core i5 Dual-Core,O3,0.000186
70,2,7 GHz Intel Core i5 Dual-Core,O3,0.000284
80,2,7 GHz Intel Core i5 Dual-Core,O3,0.000479
90,2,7 GHz Intel Core i5 Dual-Core,O3,0.000623
100,2,7 GHz Intel Core i5 Dual-Core,O3,0.000840
110,2,7 GHz Intel Core i5 Dual-Core,O3,0.001129
120,2,7 GHz Intel Core i5 Dual-Core,O3,0.001582
130,2,7 GHz Intel Core i5 Dual-Core,O3,0.001984
140,2,7 GHz Intel Core i5 Dual-Core,O3,0.002541
150,2,7 GHz Intel Core i5 Dual-Core,O3,0.003067
160,2,7 GHz Intel Core i5 Dual-Core,O3,0.004187
170,2,7 GHz Intel Core i5 Dual-Core,O3,0.004530
180,2,7 GHz Intel Core i5 Dual-Core,O3,0.005476
190,2,7 GHz Intel Core i5 Dual-Core,O3,0.006509
200,2,7 GHz Intel Core i5 Dual-Core,O3,0.007704
210,2,7 GHz Intel Core i5 Dual-Core,O3,0.009610
220,2,7 GHz Intel Core i5 Dual-Core,O3,0.011326
230,2,7 GHz Intel Core i5 Dual-Core,O3,0.011915
240,2,7 GHz Intel Core i5 Dual-Core,O3,0.013744
250,2,7 GHz Intel Core i5 Dual-Core,O3,0.015272
260,2,7 GHz Intel Core i5 Dual-Core,O3,0.016820
270,2,7 GHz Intel Core i5 Dual-Core,O3,0.018871
280,2,7 GHz Intel Core i5 Dual-Core,O3,0.021329
290,2,7 GHz Intel Core i5 Dual-Core,O3,0.023489
300,2,7 GHz Intel Core i5 Dual-Core,O3,0.026165
310,2,7 GHz Intel Core i5 Dual-Core,O3,0.028719
320,2,7 GHz Intel Core i5 Dual-Core,O3,0.037632
330,2,7 GHz Intel Core i5 Dual-Core,O3,0.037456
340,2,7 GHz Intel Core i5 Dual-Core,O3,0.038428
350,2,7 GHz Intel Core i5 Dual-Core,O3,0.041613
360,2,7 GHz Intel Core i5 Dual-Core,O3,0.047846
370,2,7 GHz Intel Core i5 Dual-Core,O3,0.050086
380,2,7 GHz Intel Core i5 Dual-Core,O3,0.053748
390,2,7 GHz Intel Core i5 Dual-Core,O3,0.057889
400,2,7 GHz Intel Core i5 Dual-Core,O3,0.066162
410,2,7 GHz Intel Core i5 Dual-Core,O3,0.067175
420,2,7 GHz Intel Core i5 Dual-Core,O3,0.074159
430,2,7 GHz Intel Core i5 Dual-Core,O3,0.077905
440,2,7 GHz Intel Core i5 Dual-Core,O3,0.083109
450,2,7 GHz Intel Core i5 Dual-Core,O3,0.089341
460,2,7 GHz Intel Core i5 Dual-Core,O3,0.096108
470,2,7 GHz Intel Core i5 Dual-Core,O3,0.103574
480,2,7 GHz Intel Core i5 Dual-Core,O3,0.119382
490,2,7 GHz Intel Core i5 Dual-Core,O3,0.120797
500,2,7 GHz Intel Core i5 Dual-Core,O3,0.126147
