N,CPU,Compilation Parameter,t(s)
10,2.7 GHz Intel Core i5 Dual-Core,O1,0.000036
20,2.7 GHz Intel Core i5 Dual-Core,O1,0.000042
30,2.7 GHz Intel Core i5 Dual-Core,O1,0.000046
40,2.7 GHz Intel Core i5 Dual-Core,O1,0.000051
50,2.7 GHz Intel Core i5 Dual-Core,O1,0.000055
60,2.7 GHz Intel Core i5 Dual-Core,O1,0.000049
70,2.7 GHz Intel Core i5 Dual-Core,O1,0.000357
80,2.7 GHz Intel Core i5 Dual-Core,O1,0.000315
90,2.7 GHz Intel Core i5 Dual-Core,O1,0.000357
100,2.7 GHz Intel Core i5 Dual-Core,O1,0.000328
110,2.7 GHz Intel Core i5 Dual-Core,O1,0.000360
120,2.7 GHz Intel Core i5 Dual-Core,O1,0.000317
130,2.7 GHz Intel Core i5 Dual-Core,O1,0.001108
140,2.7 GHz Intel Core i5 Dual-Core,O1,0.000899
150,2.7 GHz Intel Core i5 Dual-Core,O1,0.001051
160,2.7 GHz Intel Core i5 Dual-Core,O1,0.000927
170,2.7 GHz Intel Core i5 Dual-Core,O1,0.001113
180,2.7 GHz Intel Core i5 Dual-Core,O1,0.000848
190,2.7 GHz Intel Core i5 Dual-Core,O1,0.001564
200,2.7 GHz Intel Core i5 Dual-Core,O1,0.003640
210,2.7 GHz Intel Core i5 Dual-Core,O1,0.003885
220,2.7 GHz Intel Core i5 Dual-Core,O1,0.002031
230,2.7 GHz Intel Core i5 Dual-Core,O1,0.002343
240,2.7 GHz Intel Core i5 Dual-Core,O1,0.001949
250,2.7 GHz Intel Core i5 Dual-Core,O1,0.002311
260,2.7 GHz Intel Core i5 Dual-Core,O1,0.003701
270,2.7 GHz Intel Core i5 Dual-Core,O1,0.004360
280,2.7 GHz Intel Core i5 Dual-Core,O1,0.003920
290,2.7 GHz Intel Core i5 Dual-Core,O1,0.004410
300,2.7 GHz Intel Core i5 Dual-Core,O1,0.006206
310,2.7 GHz Intel Core i5 Dual-Core,O1,0.004408
320,2.7 GHz Intel Core i5 Dual-Core,O1,0.003694
330,2.7 GHz Intel Core i5 Dual-Core,O1,0.008000
340,2.7 GHz Intel Core i5 Dual-Core,O1,0.006869
350,2.7 GHz Intel Core i5 Dual-Core,O1,0.007785
360,2.7 GHz Intel Core i5 Dual-Core,O1,0.006451
370,2.7 GHz Intel Core i5 Dual-Core,O1,0.007842
380,2.7 GHz Intel Core i5 Dual-Core,O1,0.006547
390,2.7 GHz Intel Core i5 Dual-Core,O1,0.012550
400,2.7 GHz Intel Core i5 Dual-Core,O1,0.009982
410,2.7 GHz Intel Core i5 Dual-Core,O1,0.012981
420,2.7 GHz Intel Core i5 Dual-Core,O1,0.010599
430,2.7 GHz Intel Core i5 Dual-Core,O1,0.012882
440,2.7 GHz Intel Core i5 Dual-Core,O1,0.012707
450,2.7 GHz Intel Core i5 Dual-Core,O1,0.020700
460,2.7 GHz Intel Core i5 Dual-Core,O1,0.018935
470,2.7 GHz Intel Core i5 Dual-Core,O1,0.019777
480,2.7 GHz Intel Core i5 Dual-Core,O1,0.017192
490,2.7 GHz Intel Core i5 Dual-Core,O1,0.019867
500,2.7 GHz Intel Core i5 Dual-Core,O1,0.016733
