N,CPU,Compilation Parameter,t(s)
10,2,5 GHz Intel Core i5 7th Generation Dual-Core,O0,0.000009
20,2,5 GHz Intel Core i5 7th Generation Dual-Core,O0,0.000018
30,2,5 GHz Intel Core i5 7th Generation Dual-Core,O0,0.000041
40,2,5 GHz Intel Core i5 7th Generation Dual-Core,O0,0.000137
50,2,5 GHz Intel Core i5 7th Generation Dual-Core,O0,0.000208
60,2,5 GHz Intel Core i5 7th Generation Dual-Core,O0,0.000298
70,2,5 GHz Intel Core i5 7th Generation Dual-Core,O0,0.000355
80,2,5 GHz Intel Core i5 7th Generation Dual-Core,O0,0.000455
90,2,5 GHz Intel Core i5 7th Generation Dual-Core,O0,0.000578
100,2,5 GHz Intel Core i5 7th Generation Dual-Core,O0,0.000968
110,2,5 GHz Intel Core i5 7th Generation Dual-Core,O0,0.001170
120,2,5 GHz Intel Core i5 7th Generation Dual-Core,O0,0.001417
130,2,5 GHz Intel Core i5 7th Generation Dual-Core,O0,0.002153
140,2,5 GHz Intel Core i5 7th Generation Dual-Core,O0,0.003168
150,2,5 GHz Intel Core i5 7th Generation Dual-Core,O0,0.002823
160,2,5 GHz Intel Core i5 7th Generation Dual-Core,O0,0.003207
170,2,5 GHz Intel Core i5 7th Generation Dual-Core,O0,0.004361
180,2,5 GHz Intel Core i5 7th Generation Dual-Core,O0,0.005163
190,2,5 GHz Intel Core i5 7th Generation Dual-Core,O0,0.005294
200,2,5 GHz Intel Core i5 7th Generation Dual-Core,O0,0.007353
210,2,5 GHz Intel Core i5 7th Generation Dual-Core,O0,0.007723
220,2,5 GHz Intel Core i5 7th Generation Dual-Core,O0,0.008828
230,2,5 GHz Intel Core i5 7th Generation Dual-Core,O0,0.010553
240,2,5 GHz Intel Core i5 7th Generation Dual-Core,O0,0.012166
250,2,5 GHz Intel Core i5 7th Generation Dual-Core,O0,0.012310
260,2,5 GHz Intel Core i5 7th Generation Dual-Core,O0,0.022854
270,2,5 GHz Intel Core i5 7th Generation Dual-Core,O0,0.016456
280,2,5 GHz Intel Core i5 7th Generation Dual-Core,O0,0.017565
290,2,5 GHz Intel Core i5 7th Generation Dual-Core,O0,0.021229
300,2,5 GHz Intel Core i5 7th Generation Dual-Core,O0,0.022806
310,2,5 GHz Intel Core i5 7th Generation Dual-Core,O0,0.023741
320,2,5 GHz Intel Core i5 7th Generation Dual-Core,O0,0.025938
330,2,5 GHz Intel Core i5 7th Generation Dual-Core,O0,0.029430
340,2,5 GHz Intel Core i5 7th Generation Dual-Core,O0,0.032502
350,2,5 GHz Intel Core i5 7th Generation Dual-Core,O0,0.037402
360,2,5 GHz Intel Core i5 7th Generation Dual-Core,O0,0.043049
370,2,5 GHz Intel Core i5 7th Generation Dual-Core,O0,0.045247
380,2,5 GHz Intel Core i5 7th Generation Dual-Core,O0,0.048455
390,2,5 GHz Intel Core i5 7th Generation Dual-Core,O0,0.055679
400,2,5 GHz Intel Core i5 7th Generation Dual-Core,O0,0.058540
410,2,5 GHz Intel Core i5 7th Generation Dual-Core,O0,0.061984
420,2,5 GHz Intel Core i5 7th Generation Dual-Core,O0,0.069575
430,2,5 GHz Intel Core i5 7th Generation Dual-Core,O0,0.073122
440,2,5 GHz Intel Core i5 7th Generation Dual-Core,O0,0.077046
450,2,5 GHz Intel Core i5 7th Generation Dual-Core,O0,0.086469
460,2,5 GHz Intel Core i5 7th Generation Dual-Core,O0,0.090456
470,2,5 GHz Intel Core i5 7th Generation Dual-Core,O0,0.094761
480,2,5 GHz Intel Core i5 7th Generation Dual-Core,O0,0.096840
490,2,5 GHz Intel Core i5 7th Generation Dual-Core,O0,0.109407
500,2,5 GHz Intel Core i5 7th Generation Dual-Core,O0,0.113386
